2019-08-15,7.4679
2019-08-16,7.4941
2019-08-17,6.9084
2019-08-18,7.0205
2019-08-19,7.258
2019-08-20,6.3095
2019-08-21,6.0168
2019-08-22,8.6227
2019-08-23,8.6288
2019-08-24,6.7241
2019-08-25,7.7702
2019-08-26,8.076
2019-08-27,8.5882
2019-08-28,7.7188
2019-08-29,7.6566
2019-08-30,7.3943
2019-08-31,8.6294
2019-09-01,7.363
2019-09-02,6.6666
2019-09-03,7.1261
2019-09-04,8.4295
2019-09-05,6.9739
2019-09-06,6.635
2019-09-07,8.1034
2019-09-08,7.6923
2019-09-09,6.4327
2019-09-10,6.3231
2019-09-11,7.9812
2019-09-12,8.4323
2019-09-13,6.9605
2019-09-14,7.4074
2019-09-15,9.0753
2019-09-16,8.2654
2019-09-17,7.5029
2019-09-18,8.4198
2019-09-19,8.2175
2019-09-20,7.783
2019-09-21,8.8541
2019-09-22,9.0434
2019-09-23,9.2417
2019-09-24,8.9928
2019-09-25,7.8106
2019-09-26,7.2855
2019-09-27,7.7922
2019-09-28,9.4664
2019-09-29,9.1993
2019-09-30,7.5774
2019-10-01,8.528
2019-10-02,8.3333
2019-10-03,7.7816
2019-10-04,6.351
2019-10-05,8.7628
2019-10-06,8.4337
2019-10-07,7.1342
2019-10-08,7.6646
2019-10-09,8.8578
2019-10-10,10.3044
2019-10-11,7.8502
2019-10-12,7.118
2019-10-13,7.9722
2019-10-14,7.3089
2019-10-15,6.9657
2019-10-16,7.4941
2019-10-17,7.3809
2019-10-18,6.5947
2019-10-19,6.8181
2019-10-20,7.7876
2019-10-21,5.9164
2019-10-22,6.8604
2019-10-23,5.667
2019-10-24,6.8235
2019-10-25,7.2916
2019-10-26,9.2561
2019-10-27,7.4626
2019-10-28,6.5292
2019-10-29,7.3341
2019-10-30,7.0615
2019-10-31,6.5292
2019-11-01,7.2
2019-11-02,10.0486
2019-11-03,8.6522
2019-11-04,6.504
2019-11-05,6.9686
2019-11-06,7.5862
2019-11-07,7.4884
2019-11-08,5.3003
2019-11-09,7.445
2019-11-10,6.8676
2019-11-11,6.0046
2019-11-12,5.8072
2019-11-13,7.1676
2019-11-14,7.3426
2019-11-15,6.5592
2019-11-16,7.239
2019-11-17,7.7051
2019-11-18,6.902
2019-11-19,5.7142
2019-11-20,6.5819
2019-11-21,6.9954
2019-11-22,7.0034
2019-11-23,9.0614
2019-11-24,8.9678
2019-11-25,9.1954
2019-11-26,8.4364
2019-11-27,8.8565
2019-11-28,8.7005
2019-11-29,8.2579
2019-11-30,8.7603
2019-12-01,8.6885
2019-12-02,6.7505
2019-12-03,6.8493
2019-12-04,8.3143
2019-12-05,8.912
2019-12-06,7.11
2019-12-07,6.9306
2019-12-08,7.3409
2019-12-09,7.6923
2019-12-10,8.4937
2019-12-11,8.967
2019-12-12,10.1969
2019-12-13,8.6605
2019-12-14,6.1872
2019-12-15,7.7922
2019-12-16,8.3995
2019-12-17,7.6576
2019-12-18,8.1911
2019-12-19,10.4838
2019-12-20,8.4282
